#Name,Version,URL,ISO
RedHat,7,NULL,rhel-server-7.9-update-12-x86_64-kvm.qcow2
RedHat,8,NULL,rhel-8.10-x86_64-kvm.qcow2
RedHat,9,NULL,rhel-9.4-x86_64-kvm.qcow2
Oracle,7,https://yum.oracle.com/templates/OracleLinux/OL7/u9/x86_64/,OL7U9_x86_64-kvm-b218.qcow2
Oracle,8,https://yum.oracle.com/templates/OracleLinux/OL8/u10/x86_64/,OL8U10_x86_64-kvm-b237.qcow2
Oracle,9,https://yum.oracle.com/templates/OracleLinux/OL9/u4/x86_64/,OL9U4_x86_64-kvm-b234.qcow2
Rocky,8,DYNAMIC,DYNAMIC
Rocky,9,DYNAMIC,DYNAMIC
Alma,8,DYNAMIC,DYNAMIC
Alma,9,DYNAMIC,DYNAMIC
Debian,11,https://cdimage.debian.org/images/cloud/bullseye/latest/,debian-11-genericcloud-amd64.qcow2
Debian,12,https://cdimage.debian.org/images/cloud/bookworm/latest/,debian-12-genericcloud-amd64.qcow2
CentOS,6,https://cloud.centos.org/centos/6/images/,CentOS-6-x86_64-GenericCloud.qcow2
CentOS,7,https://cloud.centos.org/centos/7/images/,CentOS-7-x86_64-GenericCloud-2211.qcow2
CentOS,Stream,DYNAMIC,DYNAMIC
Ubuntu,2004,DYNAMIC,DYNAMIC
Ubuntu,2204,DYNAMIC,DYNAMIC
Ubuntu,2404,DYNAMIC,DYNAMIC
Fedora,36,DYNAMIC,DYNAMIC
Fedora,40,DYNAMIC,DYNAMIC
Arch,1,https://geo.mirror.pkgbuild.com/images/latest/,Arch-Linux-x86_64-cloudimg.qcow2
OpenSUSE,15.6,https://download.opensuse.org/distribution/leap/15.6/appliances/,openSUSE-Leap-15.6-Minimal-VM.x86_64-Cloud.qcow2
AmazonLinux,2,https://cdn.amazonlinux.com/os-images/2.0.20250113.0/kvm/,amzn2-kvm-2.0.20250113.0-x86_64.xfs.gpt.qcow2
Windows,2022,NULL,
